estado,año,pct_secundario,pct_terciario
México,2019,27.99,64.87
Michoacán de Ocampo,2019,18.68,63.74
Morelos,2019,28.5,62.65
Nayarit,2019,18.69,69.01
Nuevo León,2019,39.81,53.35
Oaxaca,2019,25.61,65.22
Puebla,2019,36.2,54.97
Querétaro,2019,42.45,49.38
Quintana Roo,2019,11.27,81.06
San Luis Potosí,2019,44.71,46.19
Sinaloa,2019,18.51,66.1
Sonora,2019,44.62,43.76
Tabasco,2019,49.18,45.63
Tamaulipas,2019,42.05,50.24
Tlaxcala,2019,34.62,56.22
Veracruz de Ignacio de la Llave,2019,29.85,60.16
Yucatán,2019,25.76,66.5
Zacatecas,2019,32.25,51.54
Aguascalientes,2020,44.02,45.87
Baja California,2020,44.0,47.68
Baja California Sur,2020,19.61,71.56
Campeche,2020,80.31,17.38
Coahuila de Zaragoza,2020,52.08,39.64
Colima,2020,28.79,63.48
Chiapas,2020,17.85,71.49
Chihuahua,2020,41.79,46.8
Ciudad de México,2020,8.59,85.85
Durango,2020,36.9,50.72
Guanajuato,2020,38.07,52.6
Guerrero,2020,18.35,72.39
Hidalgo,2020,34.07,57.96
Jalisco,2020,28.25,59.41
México,2020,27.64,65.37
Michoacán de Ocampo,2020,19.24,62.69
Morelos,2020,27.58,63.36
Nayarit,2020,17.7,69.49
Nuevo León,2020,38.83,54.72
Oaxaca,2020,27.16,63.53
Puebla,2020,34.08,56.88
Querétaro,2020,40.78,50.95
Quintana Roo,2020,11.43,81.79
San Luis Potosí,2020,43.97,46.65
Sinaloa,2020,18.62,66.01
Sonora,2020,44.67,43.66
Tabasco,2020,54.15,41.25
Tamaulipas,2020,40.89,51.41
Tlaxcala,2020,33.34,57.63
Veracruz de Ignacio de la Llave,2020,28.69,60.75
Yucatán,2020,25.11,67.07
Zacatecas,2020,31.92,50.72
Aguascalientes,2021,43.02,46.71
Baja California,2021,43.65,47.85
Baja California Sur,2021,16.48,73.78
Campeche,2021,78.05,18.71
Coahuila de Zaragoza,2021,54.44,37.29
Colima,2021,23.42,68.12
Chiapas,2021,18.11,71.24
Chihuahua,2021,42.08,46.55
Ciudad de México,2021,8.95,85.34
Durango,2021,36.58,50.42
Guanajuato,2021,38.4,51.92
Guerrero,2021,16.87,73.74
Hidalgo,2021,34.99,57.04
Jalisco,2021,28.08,59.65
México,2021,27.76,65.14
Michoacán de Ocampo,2021,17.26,64.23
Morelos,2021,28.54,62.4
Nayarit,2021,19.95,67.84
Nuevo León,2021,39.72,53.64
Oaxaca,2021,29.85,61.18
Puebla,2021,33.81,57.02
Querétaro,2021,41.16,50.36
Quintana Roo,2021,8.62,83.53
San Luis Potosí,2021,42.98,47.19
Sinaloa,2021,18.04,67.0
Sonora,2021,44.38,43.82
Tabasco,2021,58.26,37.17
Tamaulipas,2021,40.94,51.47
Tlaxcala,2021,33.98,56.86
Veracruz de Ignacio de la Llave,2021,28.86,60.52
Yucatán,2021,24.89,67.04
Zacatecas,2021,32.88,49.99
Aguascalientes,2022,41.73,48.04
Baja California,2022,42.91,48.14
Baja California Sur,2022,16.08,74.2
Campeche,2022,77.49,19.39
Coahuila de Zaragoza,2022,54.79,36.87
Colima,2022,20.55,70.1
Chiapas,2022,20.05,69.68
Chihuahua,2022,43.01,45.33
Ciudad de México,2022,9.67,84.37
Durango,2022,35.76,51.12
Guanajuato,2022,38.64,51.71
Guerrero,2022,16.11,74.65
Hidalgo,2022,37.98,54.25
Jalisco,2022,28.76,58.86
México,2022,27.18,65.79
Michoacán de Ocampo,2022,17.19,64.6
Morelos,2022,28.38,62.82
Nayarit,2022,18.75,68.8
Nuevo León,2022,39.84,53.36
Oaxaca,2022,31.8,59.54
Puebla,2022,34.34,56.68
Querétaro,2022,41.39,50.08
Quintana Roo,2022,8.86,82.85
San Luis Potosí,2022,44.32,46.04
Sinaloa,2022,18.32,66.64
Sonora,2022,45.15,42.56
Tabasco,2022,63.25,32.66
Tamaulipas,2022,40.61,51.49
Tlaxcala,2022,34.4,56.46
Veracruz de Ignacio de la Llave,2022,27.88,61.51
Yucatán,2022,24.38,67.46
Zacatecas,2022,34.16,49.39
Aguascalientes,2023,42.96,46.66
Baja California,2023,43.41,47.47
Baja California Sur,2023,15.78,74.54
Campeche,2023,78.23,18.58
Coahuila de Zaragoza,2023,52.67,38.58
Colima,2023,21.71,69.56
Chiapas,2023,18.95,70.65
Chihuahua,2023,43.31,45.07
Ciudad de México,2023,9.19,84.87
Durango,2023,36.3,51.12
Guanajuato,2023,37.95,52.38
Guerrero,2023,15.84,75.04
Hidalgo,2023,37.55,54.79
Jalisco,2023,28.77,59.04
México,2023,26.16,66.89
Michoacán de Ocampo,2023,17.2,63.72
Morelos,2023,27.73,63.6
Nayarit,2023,18.39,69.38
Nuevo León,2023,39.69,53.52
Oaxaca,2023,33.86,58.03
Puebla,2023,33.9,56.92
Querétaro,2023,40.87,50.49
Quintana Roo,2023,20.73,72.23
San Luis Potosí,2023,46.84,43.66
Sinaloa,2023,18.12,68.12
Sonora,2023,45.73,42.13
Tabasco,2023,62.85,33.19
Tamaulipas,2023,39.31,52.97
Tlaxcala,2023,33.74,57.07
Veracruz de Ignacio de la Llave,2023,28.21,61.31
Yucatán,2023,24.38,67.52
Zacatecas,2023,35.94,49.25
