año,estado,remesas_mdd
2021,Veracruz,2079.43
2022,Veracruz,2367.44
2023,Veracruz,2573.81
2003,Yucatán,60.41
2004,Yucatán,75.75
2005,Yucatán,94.14
2006,Yucatán,122.08
2007,Yucatán,140.13
2008,Yucatán,141.72
2009,Yucatán,114.15
2010,Yucatán,116.33
2011,Yucatán,121.65
2012,Yucatán,123.71
2013,Yucatán,130.06
2014,Yucatán,133.58
2015,Yucatán,143.53
2016,Yucatán,146.44
2017,Yucatán,184.62
2018,Yucatán,206.96
2019,Yucatán,227.52
2020,Yucatán,251.74
2021,Yucatán,341.89
2022,Yucatán,396.64
2023,Yucatán,434.26
2003,Zacatecas,402.37
2004,Zacatecas,484.61
2005,Zacatecas,540.48
2006,Zacatecas,667.72
2007,Zacatecas,704.02
2008,Zacatecas,709.84
2009,Zacatecas,595.33
2010,Zacatecas,600.48
2011,Zacatecas,645.86
2012,Zacatecas,679.2
2013,Zacatecas,657.28
2014,Zacatecas,724.19
2015,Zacatecas,776.49
2016,Zacatecas,903.05
2017,Zacatecas,1035.46
2018,Zacatecas,1129.05
2019,Zacatecas,1159.93
2020,Zacatecas,1242.13
2021,Zacatecas,1611.97
2022,Zacatecas,1744.12
2023,Zacatecas,1816.25
